Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,Harm Score,Divestment (Y/N),Annual Revenues (Mn) - original,Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,description,Thumbnails,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other ,Tags
1st Advanced EMS,Y,OH,78,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Ambulance Services,,,,,,,,,,,,,,logo-1st-advanced.svg (https://dl.airtable.com/.attachments/af18cb04f34bfb6db1df77a0db105e19/523e46b9/logo-1st-advanced.svg),http://1stadvems.com/,OH DRC Spending,,,,https://procure.ohio.gov///conamendment/ot900712_PDF_021.pdf,
1st Choice Restaurant Equipment & Supply,Y,TX,,1971,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.1stchoiceres.com/,TDCJ Spending,,,,https://govtribe.com/vendors/1st-choice-restaurant-equipment-supply-llc-4v9g6,
2 K General,Y,OH,40,1999,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,$6.0,$6.00,2018,,,,,,http://www.2kgeneral.com/,http://www.2kgeneral.com/portfolio/,,,PrivCo (www.privco.com),http://www.2kgeneral.com/portfolio-items/scioto-juvenile-correctional-facility/,
316 VanGo,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,,checked,,,,,http://www.316transportationservice.com/,See website,,,,,
360 IT Integrated Solutions,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,checked,,,,,,,,,,,,http://360itis.com/Solutions/default.html,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,,
3DA Display,Y,MI,,2008,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,,,,https://www.3dadisplay.com/,https://www.nationalcia.org/corporate-members,,See corrections source,,,
3M,Y,MN,93516,1902,,Mike Roman,,,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),Equipment,"Furnishings, Supplies, & Other Facility Equipment",,checked,13,checked,"$32,136.0","$32,136.00",2019,,,Sold off its electronic monitoring businessfor $200 M and identity management business for $850 M in 2017; Sold off Ballistic Protection Business for $91.0MM to Avon Rubber PLC Jan 2020,,,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis,
3S Sports & Tactical Gear,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.3stactical.com/,See website,,,,,
3Wire Group,Y,MN,205,2001,2008,,,Berkshire Hathaway,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,,,,,,Acquired by Berkshire Hathaway in 2007 as part of Marmon for $4.5 B; Parts Town acquired foodservice parts distribution and field service businss assets of 3Wire Group May 2018,,,https://www.3wire.com/,TDCJ Spending,,,,https://dealbook.nytimes.com/2007/12/25/buffett-to-buy-marmon-from-pritzker-family/,
4 Star Hose & Supply,Y,TX,70,1983,2019,Sam Petillo,AEA Investors,SBP Holdings/Singer Equities,,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,7,,,,,,,Acquired by Singer Equities in 2019,,,http://www.4starhose.com/,TDCJ Spending,,See corrections source,,https://www.inddist.com/mergers-acquisitions/news/13777809/singer-equities-acquires-4star-hose-supply,
4Bike-Police,Y,AR,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,checked,,,,,http://www.4bike-police.com/,See website,,,,,
5.11 (Tactical),Y,CA,550,2003,2016,,,"Compass Group, The",CODI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,,,,,14,checked,$310.0,$310.00,2018,,,Acquired by Compass Group in 2016,,,http://www.511tactical.com,http://www.511tactical.com/public-safety/law-enforcement.html,,,PrivCo (www.privco.com),https://www.compassequity.com/companies/5-11-tactical/,
555 International,Y,IL,150,1987,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$39.0,$39.00,2018,,,,,,http://www.555.com/,See New Star Lighting,,,PrivCo (www.privco.com),https://newstarlighting.com/applications/correctional/,
7th Ave Roastery,Y,OK,,2011,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,https://7thaveroastery.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004005-T.pdf,,,,,
A & D Water Systems,Y,FL,,1994,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.adwatersystems.com/,https://facts.fldfs.com/Search/AdvancedSearchResult.aspx,,,,,
A & E Low Vision Products,Y,CA,,2003,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://aelowvision.com/,California Spending Data - 2018,,,,,
A C Staffing,Y,FL,,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,,,,,,,,,,,,,http://www.ac-healthcare.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,,
A Fresh Start Emergency Network,Y,MO,,1998,,Wilma R. Williams,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,,,,,,,,,,,,,,,http://www.afeenapetroleum.com,http://correctionsmarketplace.com/,,,,https://www.bbb.org/stlouis/business-reviews/oil-marketing/a-fresh-start-emergency-network-llc-in-saint-louis-mo-310021091,
